rag_setting,phase,experiment_group,retrieval,description,model,strategy,count,sari_mean,sari_std,bertscore_mean,bertscore_std,bleu_mean,bleu_std,perplexity_mean,perplexity_std,lens_mean,lens_std
BGE-RAG-full,BGE RAG v3,,,BGE-RAG-full,sonar,structured,189,40.8011518565201,5.44037152357747,0.879058633531843,0.0299311728803573,0.121092472990336,0.0663630553236603,40.1205405280704,12.0945730967524,52.2941048927981,15.3410653737684
BGE-RAG-full,BGE RAG v3,,,BGE-RAG-full,sonar,zeroshot,189,41.3471709726115,4.8478524572482,0.883203340901269,0.0277573145706919,0.137811250021351,0.0710339832919291,44.0264725458054,13.9537736941368,48.317252857329,16.5360875931719
E5-RAG-full,E5 RAG v3,,,E5-RAG-full,sonar,constraint,189,42.1936910574624,4.69086916962764,0.888136906598611,0.0242767877304888,0.165250786644884,0.0817745011212911,40.6544872162834,13.154117186907,48.4097099119713,16.6591711390829
E5-RAG-full,E5 RAG v3,,,E5-RAG-full,sonar,structured,189,40.9713243968415,5.14131924625871,0.879646990034315,0.0280425967383052,0.124975853907352,0.0668035548597338,40.00240448543,13.4285672997985,52.4680081405173,16.4911122558964
E5-RAG-full,E5 RAG v3,,,E5-RAG-full,sonar,zeroshot,189,41.1326311436159,4.98183715708785,0.882731587483139,0.0259914325645107,0.135695484618107,0.0738826947776527,43.4596931215317,13.4525133858252,50.4130805846494,16.4126834354374
OpenAI-RAG-k3,Open AI RAG v2,,,step 2 - RAG top k=3,sonar,constraint,189,40.381176272143,6.88120067488096,0.871613184926371,0.0396944804332149,0.15631863953155,0.0994149981908053,36.5376073241865,12.4658485099557,41.2732340536884,14.629346538051
OpenAI-RAG-k3,Open AI RAG v2,,,step 2 - RAG top k=3,sonar,structured,189,39.1676206738811,6.18718353404359,0.867262247062865,0.0354282634123723,0.0993902986754818,0.0715518185439505,39.7971707803232,13.3936461586337,46.3020438060589,16.4115320517362
OpenAI-RAG-k3,Open AI RAG v2,,,step 2 - RAG top k=3,sonar,zeroshot,189,40.3264129772436,6.03925083883891,0.875506849831374,0.0346549769727131,0.127669413369124,0.0800734859722065,42.4085912805386,13.8323418713203,43.3767571822935,14.83560163293
OpenAI-RAG-v3-clean,Open AI RAG v3,,,step 2 - RAG top k=3 with upgrated prompt,sonar,constraint,189,42.2861031709556,4.79956857045946,0.890700747727086,0.0206637908816849,0.170340007616635,0.0768760469327281,39.9072646186465,12.9355308989994,49.6521684420402,16.7369037066905
OpenAI-RAG-v3-clean,Open AI RAG v3,,,step 2 - RAG top k=3 with upgrated prompt,sonar,structured,189,40.3483545562579,5.89532223470104,0.876784720118084,0.0308065674733444,0.114612411517324,0.0666222973112389,41.0633085745352,12.7939546502678,50.8307184532671,16.1868964198115
OpenAI-RAG-v3-clean,Open AI RAG v3,,,step 2 - RAG top k=3 with upgrated prompt,sonar,zeroshot,189,40.9610376956631,5.24605731005713,0.882221695291933,0.0288090661401921,0.134523167754421,0.0754374719018179,43.9257503186584,13.3748418559877,48.3410951834186,16.588229368157
