model,version,description,strategy,count,count_with_bertscore,bertscore_mean,bertscore_std,bleu_mean,bleu_std,sari_mean,sari_std,perplexity_mean,perplexity_std,lens_mean,lens_std,fkgl_delta_mean,fkgl_delta_std,fre_delta_mean,fre_delta_std,fkgl_output_mean,fre_output_mean,phase,experiment_group,retrieval
gemini-2.0-flash,v1,step 1 - simple prompt engineering,zeroshot,189,189,0.850409355113115,0.0107830084117996,0.0250038062073276,0.0200533922004886,33.8201930404911,3.35964630331263,20.3047599641104,4.81708860108596,67.5750116756156,10.3522991494593,-7.42351723849956,1.90663213775164,31.0782997876508,9.21946343808018,3.83416764033383,84.3874201047378,Simple Prompt v1,Simple Prompt v1,none
gemini-2.0-flash,v1,step 2 - RAG top k=3,constraint,189,189,0.877503088857762,0.0140816922093759,0.0956002329107785,0.0469102815712304,39.3294809743393,5.03790722017052,26.9864465774052,6.48184697034581,58.8379739726827,13.0732063822658,-8.1159668225349,1.95272250375945,33.081577903481,9.0888051685649,3.14171805629849,86.390698220568,Open AI RAG v2,,
gemini-2.0-flash,v2,step 1 - simple prompt engineering,constraint,189,189,0.872662596917026,0.0134842828415001,0.0698382994649284,0.0337684699996577,38.6239912776973,3.66663371931708,27.3753307483814,7.64818836315796,60.7292383392891,12.1516124178728,-8.38144656883964,1.80257933066062,33.8892086167744,8.51195396435904,2.87623830999376,87.1983289338615,Simple Prompt v2,Simple Prompt v2,none
gemini-2.0-flash,v2,step 1 - simple prompt engineering,structured,189,189,0.869970768532425,0.0116184170685312,0.0654645849417431,0.0369073252411261,38.4896367114132,3.94173693188296,25.1128634296397,6.03926838974076,64.2493764588444,10.8320637632578,-7.66181943844251,1.81404197687683,29.9152078507635,8.40457311287904,3.59586544039089,83.2243281678505,Simple Prompt v2,Simple Prompt v2,none
gemini-2.0-flash,v2,step 1 - simple prompt engineering,zeroshot,189,189,0.875334894530988,0.0127361709527472,0.0785641978753824,0.0346953054000799,39.4324612430497,3.72290087254393,25.767455883127,7.42409652100745,64.3481671318364,11.5977075533076,-7.924476709036,1.74227955167417,31.614583392118,8.06508818630201,3.33320816979739,84.923703709205,Simple Prompt v2,Simple Prompt v2,none
gemini-2.0-flash,v2,step 2 - RAG top k=3,structured,189,189,0.881387700164129,0.0135133273150697,0.105935520782666,0.0406533792761236,41.2316797165465,3.90633517230741,23.7108207732912,5.93576653094683,68.0168227551472,10.3266263949006,-7.49472116468306,1.71492994259959,29.2799972638685,7.62542011447988,3.76296371415033,82.5891175809555,Open AI RAG v2,,
gemini-2.0-flash,v2,step 2 - RAG top k=3,zeroshot,189,189,0.879639896135482,0.0123207658825329,0.0928045601809546,0.0355500201840936,40.5703091925511,3.71173318145737,24.1977759921362,6.97668814059501,66.1497932595731,11.5255715103641,-7.92263731490552,1.73439900406925,31.6141681236308,7.90877989745064,3.33504756392787,84.9232884407178,Open AI RAG v2,,
gemini-2.0-flash,v3,BGE-RAG-full,constraint,189,189,0.887528781222288,0.0126156702062086,0.127264955983397,0.0424614563541244,42.4684455591018,3.5761268355764,26.2503357690478,6.44099107232747,64.1935323264889,10.4366613957916,-7.87965945981694,1.71840386163946,32.0676318946394,7.90034972225333,3.37802541901646,85.3767522117264,BGE RAG v3,,
gemini-2.0-flash,v3,BGE-RAG-full,structured,189,189,0.889477368700441,0.0136550235965556,0.138499600818004,0.0472297608752913,43.2420376942834,4.00351843771416,23.3813912376525,5.45625717934285,71.4166399239865,7.61889325988432,-7.16318453193326,1.6220392862479,28.0475290692917,6.97942541054689,4.09450034690013,81.3566493863787,BGE RAG v3,,
gemini-2.0-flash,v3,BGE-RAG-full,zeroshot,189,189,0.885753268918032,0.0132107475274631,0.100529122739294,0.0357406769939379,42.0057310489173,3.52175258448568,20.6754420547889,5.94695767939585,67.2278583053297,10.2607966123917,-7.83328749435131,1.72168712481589,31.1639944792887,7.68069054657998,3.42439738448209,84.4731147963757,BGE RAG v3,,
gemini-2.0-flash,v3,E5-RAG-full,constraint,189,189,0.887362135465814,0.0129938206633857,0.12636221747401,0.0438396015900975,42.4214124607987,3.64066430949394,26.0715594417834,6.52812913548551,64.2808741388477,10.400930144652,-7.86798707295936,1.74509626691749,31.9792190201139,7.9545205839463,3.38969780587404,85.2883393372008,E5 RAG v3,,
